STAIDT,site_no,STATION_NAME,LATITUDE,LONGITUDE,FINAL_REFERENCE,DA_SQKM,NHDV2_COMID
T11054600,11054600,CRAFTON CN NR MENTONE CA,34.06862406,-117.0989234,NA,NA,22557932
T11055000,11055000,MILL C NR MENTONE CA,34.0777904,-117.0992014,N,49.1,22556158
T11055350,11055350,PLUNGE C UP DIV NR EAST HIGHLANDS CA,34.13973269,-117.1494826,NA,NA,22555782
T11055351,11055351,PLUNGE C UP AND MID DIV NR FONTANA CA,34.13973269,-117.1497604,NA,NA,22555782
T11055400,11055400,PLUNGE C MID DIV NR EAST HIGHLANDS CA,34.1233444,-117.140593,NA,NA,22555782
T11055500,11055500,PLUNGE C NR EAST HIGHLANDS CA,34.11834458,-117.141704,N,16.9,22555860
T11055501,11055501,PLUNGE C NR EAST HIGHLANDS AND CANALS CA,34.11834458,-117.1417041,NA,16.9,22555860
T11055700,11055700,CITY C WATER CO CN NR HIGHLAND CA,34.14362145,-117.1889285,NA,NA,22555756
T11055800,11055800,CITY C NR HIGHLAND CA,34.1438992,-117.1886507,N,19.6,22555756
T11055801,11055801,CITY C NR HIGHLAND CA.+ CANALS CA,34.14389921,-117.1886507,NA,19.6,22555756
T11056000,11056000,SANTA ANA R NR SAN BERNARDINO CA,34.08195723,-117.2558749,N,329,948070563
T11056200,11056200,SANTA ANA R A WATERMAN AVE AT SAN BERNARDINO CA,34.07056863,-117.2789312,N,359,22556176
T11056500,11056500,LITTLE SAN GORGONIO C NR BEAUMONT CA,34.0291802,-116.946137,N,1.74,22559032
T11057000,11057000,SAN TIMOTEO C NR REDLANDS CA,34.03307017,-117.2089279,N,118,22557960
T11057500,11057500,SAN TIMOTEO C NR LOMA LINDA CA,34.0614024,-117.2675419,N,125,22557960
T11058500,11058500,E TWIN C NR ARROWHEAD SPRINGS CA,34.17917556,-117.2655982,N,8.8,22555342
T11058600,11058600,WATERMAN CANYON CREEK NR ARROWHEAD SPRINGS CA,34.1858333,-117.2722222,Y,4.82,22555344
T11059000,11059000,WARM C FLOODWAY A SAN BERNARDINO CA,34.09584545,-117.2758757,N,47.8,22556064
T11059100,11059100,SAN BERNARDINO WATER QUALITY CONTROL PLANT CA,34.07390177,-117.2875426,NA,NA,22558072
T11059300,11059300,SANTA ANA R A E ST NR SAN BERNARDINO CA,34.06501313,-117.3003208,N,541,22557930
T11060300,11060300,LYTLE C (EAST CHANNEL) A SAN BERNARDINO CA,34.09723406,-117.3139326,N,NA,22557894
T11060400,11060400,WARM C NR SAN BERNARDINO CA,34.07834596,-117.3003209,N,11,22557922
T11060500,11060500,MEEKS AND DALEY CN NR COLTON CA,34.07973479,-117.3008765,NA,NA,22557922
T11060900,11060900,SCE LYTLE C CONDUIT NR FONTANA CA,34.20278567,-117.4494936,NA,NA,22558184
T11060901,11060901,LYTLE CON & INFIL LINE CA,34.20278567,-117.4494936,NA,NA,22558184
T11061000,11061000,FONTANA WATER CO INFILTRATION LINE NR FONTANA CA,34.20278567,-117.4494936,NA,NA,22558184
T11062000,11062000,LYTLE C NR FONTANA CA,34.2122298,-117.458105,N,46.6,22554826
T11062001,11062001,LYTLE+BRLNE+COND+INF - W27 CA,34.2122298,-117.458105,N,NA,22554826
T11062200,11062200,FONTANA UWC LYTLE C RETURN FLOW CHANNEL CA,34.20306344,-117.4494936,NA,NA,22558184
T11062300,11062300,FONTANA UWC BREEDLINE NR FONTANA CA,34.20306344,-117.4494936,NA,NA,22558184
T11062399,11062399,FONTANA WATER CO SURFACE DIV WEIR 2 NR FONTANA CA,34.20278567,-117.4494936,NA,NA,22558184
T11062400,11062400,FONTANA WATER CO SURFACE DIV NR FONTANA CA,34.20306344,-117.4494936,NA,NA,22558184
T11062401,11062401,LYTLE C + BREEDLINE NR FONTANA CA,34.20306344,-117.4494936,NA,NA,22558184
T11062411,11062411,LYTLE + BRLNE+COND+INF CA,34.20306344,-117.4494936,NA,NA,22558184
T11062450,11062450,FONTANA PH FOREBAY SPILLWAY NR FONTANA CA,34.20278567,-117.4492158,NA,NA,22558184
T11063000,11063000,CAJON C NR KEENBROOK CA,34.26695013,-117.4600497,Y,40.6,22554630
T11063500,11063500,LONE PINE C NR KEENBROOK CA,34.2663946,-117.4639388,N,15.1,22557742
T11063510,11063510,CAJON C BL LONE PINE C NR KEENBROOK CA,34.2633392,-117.4669944,N,56.5,22557744
T11063680,11063680,DEVIL CYN C NR SAN BERNARDINO CA,34.20834107,-117.331434,N,5.49,22554872
T11063682,11063682,EB CA AQUEDUCT A DEVIL CYN PP NR SAN BERNARDINO CA,34.20556339,-117.3344897,NA,NA,22557796
T11064000,11064000,LYTLE C E CHANNEL A SAN BERNARDINO CA,34.09723406,-117.3139326,N,NA,22557894
T11065000,11065000,LYTLE C A COLTON CA,34.07890146,-117.3055989,N,186,22557940
T11065800,11065800,WARM C NR COLTON CA,34.06917958,-117.3086545,N,192,22557922
T11065801,11065801,WARM C NR COLTON + DIV CA,34.06917958,-117.3086545,NA,259,22557922
T11066100,11066100,LYTLE C W CHANNEL A COLTON CA,34.06667957,-117.3217105,NA,NA,22557928
T11066440,11066440,SANTA ANA R A MISSION BLVD AT RIVERSIDE CA,33.99112582,-117.3942124,N,808,948070241
T11066460,11066460,SANTA ANA R A MWD CROSSING CA,33.96862566,-117.4483806,N,852,22563032
T11066478,11066478,RIVERSIDE WQCP WEIR NO 1 CA,33.96473675,-117.4581031,NA,NA,22563032
T11066479,11066479,RIVERSIDE WQCP WEIR NO 2 CA,33.96473675,-117.4581031,NA,NA,22563032
T11066480,11066480,RIVERSIDE WATER QUALITY CONTROL PLANT CA,33.96473675,-117.4581031,NA,NA,22563032
T11066500,11066500,SANTA ANA R A RIVERSIDE NAROWS NR ARLINGTON CA,33.96473667,-117.466159,N,853,22563032
T11067000,11067000,DAY C NR ETIWANDA CA,34.18500809,-117.539774,N,4.56,22555060
T11067001,11067001,DAY C NR ETIWANDA CA.+ CN CA,34.18500809,-117.539774,NA,4.56,22555060
T11067890,11067890,SANTA ANA R A PRADO PARK NR CORONA CA,33.92834791,-117.5964401,N,1010,22563072
T11069200,11069200,LK HEMET WC UP CN NR SAN JACINTO CA,33.73890959,-116.825854,NA,NA,22535256
T11069300,11069300,WF SAN JACINTO TRIB NR VALLE VISTA CA,33.72224358,-116.8008536,N,2.2,22536114
T11069500,11069500,SAN JACINTO R NR SAN JACINTO,33.73807629,-116.8339098,N,142,22535256
T11069501,11069501,SAN JACINTO R NR SAN JACINTO + CANALS CA,33.73807629,-116.8339098,NA,NA,22535256
T11070000,11070000,BAUTISTA C NR HEMET CA,33.69446686,-116.8508549,N,39.6,22535350
T11070020,11070020,BAUTISTA C AT HD OF FLOOD CHANNEL NR HEMET CA,33.7116884,-116.868633,N,47.6,22536218
T11070050,11070050,BAUTISTA C A VALLE VISTA CA,33.7344653,-116.8933556,N,48.5,22536106
T11070150,11070150,SAN JACINTO R AB STATE STREET NR SAN JACINTO CA,33.8214075,-116.973358,N,252,22537332
T11070210,11070210,SAN JACINTO R A RAMONA EXPRESSWAY NR LAKEVIEW CA,33.83974065,-117.135866,N,365,22534640
T11070262,11070262,PERRIS VALLEY STORM DR A LAT B A PERRIS BLV N CA,33.85862933,-117.2264265,NA,10.6,22532830
T11070270,11070270,PERRIS VALLEY STORM DR A NUEVO RD NR PERRIS CA,33.80113024,-117.2061469,NA,93.3,22534638
T11070365,11070365,SAN JACINTO R NR SUN CITY CA,33.74613114,-117.231703,N,560,22532938
T11070375,11070375,SAN JACINTO R A RR CYN WEIR NR ELSINORE CA,33.73613136,-117.2530929,N,562,22534654
T11070465,11070465,SALT C A MURRIETA RD NR SUN CITY CA,33.6941882,-117.2055903,N,116,22532978
T11070475,11070475,SALT C A RR CYN RES NR ELSINORE CA,33.67835518,-117.235036,N,122,22532978
T11070500,11070500,SAN JACINTO R NR ELSINORE CA,33.66418858,-117.293927,N,723,22534666
T11072000,11072000,TEMESCAL C NR CORONA CA,33.84140539,-117.5111585,N,164,22563156
T11072100,11072100,TEMESCAL C AB MAIN ST A CORONA CA,33.88918212,-117.5628274,N,224,22560716
T11072200,11072200,TEMESCAL C A CORONA CA,33.89612638,-117.5814392,N,249,22563090
T11073000,11073000,SAN ANTONIO C NR CLAREMONT CA,34.21556184,-117.6686665,N,17.1,22554788
T11073001,11073001,SAN ANTONIO C NR CLAREMONT + CN CA,34.21611738,-117.6686665,Y,NA,22554788
T11073200,11073200,SAN ANTONIO C BL SAN ANTONIO DAM CA,34.15723021,-117.6814444,N,26.9,22555822
T11073300,11073300,SAN ANTONIO C A RIVERSIDE DR NR CHINO CA,34.01862319,-117.7306118,N,36.6,22557914
T11073360,11073360,CHINO C A SCHAEFER AVENUE NR CHINO CA,34.00390144,-117.7270006,N,48.9,22556372
T11073470,11073470,CUCAMONGA C NR UPLAND CA,34.1794521,-117.628943,Y,9.68,22555310
T11073493,11073493,W BR CUCAMONGA CHANNEL AB ELY PERC BASIN A ONTARIO,34.0375119,-117.6200532,N,6.01,22556262
T11073495,11073495,CUCAMONGA C NR MIRA LOMA CA,33.9827912,-117.5994966,N,75.8,22563070
T11073500,11073500,CHINO C NR PRADO CA,33.89640403,-117.6431076,N,218,22560680
T11074000,11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,N,2258,22563116
T11074500,11074500,SANTA ANA R A COUNTY LINE BL PRADO DAM CA,33.87057119,-117.6722746,N,1510,22560768
T11075600,11075600,SANTA ANA R A IMPERIAL HWY NR ANAHEIM CA,33.85640449,-117.7906112,N,1544,22563160
T11075620,11075620,SANTA ANA R SPRD DIV BL IMPERIAL HWY NR ANA CA,33.85640444,-117.8008893,NA,NA,22563160
T11075720,11075720,CARBON C BL CARBON CYN DAM CA,33.91334748,-117.8425584,N,19.5,22527369
T11075730,11075730,CARBON C A OLINDA CA,33.88890353,-117.8453358,N,19.7,22527369
T11075740,11075740,CARBON C NR YORBA LINDA CA,33.88945908,-117.8453358,N,20.1,22527369
T11075755,11075755,SANTA ANA R A BALL RD AT ANAHEIM CA,33.81668264,-117.8722797,N,1587,22560942
T11075800,11075800,SANTIAGO C A MODJESKA CA,33.71279725,-117.6450497,N,12.5,22561346
T11077000,11077000,SANTIAGO C NR VILLA PARK CA,33.82279419,-117.7767213,Y,84.6,22563182
T11077001,11077001,SANTIAGO C + DIV NR VILLA PARK CA,33.82279419,-117.7767213,NA,83.8,22563182
T11077500,11077500,SANTIAGO C A SANTA ANA CA,33.7702946,-117.8845014,N,98.6,22563210
T11078000,11078000,SANTA ANA R A SANTA ANA CA,33.75112815,-117.9083906,N,1700,22563212
T11080000,11080000,EF SAN GABRIEL R A CAMP BONITA CA,34.23056063,-117.7689471,N,58.2,22524643
T11080500,11080500,EF SAN GABRIEL R NR CAMP BONITA CA,34.23583798,-117.8058928,Y,84.6,22522855
T11081000,11081000,BEAR C NR CAMP RINCON CA,34.24167055,-117.8856177,N,28.2,22524629
T11081500,11081500,NF SAN GABRIEL R A CAMP RINCON CA,34.24722607,-117.8647837,N,18.6,22524631
T11082000,11082000,WF SAN GABRIEL R A CAMP RINCON CA,34.24111517,-117.8633948,Y,104,22524649
T11083500,11083500,SAN GABRIEL R NR AZUSA CA,34.16972858,-117.8886732,N,214,22524699
T11084000,11084000,ROGERS C NR AZUSA CA,34.16528418,-117.9064516,N,6.64,22524683
T11084500,11084500,FISH C NR DUARTE CA,34.1658396,-117.92423,Y,6.36,22524697
T11085000,11085000,SAN GABRIEL R BL SANTA FE DAM NR BALDWIN PK CA,34.11223019,-117.9695092,N,236,22524845
T11086000,11086000,DALTON C NR GLENDORA CA,34.1583404,-117.8286711,N,7.24,22523061
T11086300,11086300,SAN DIMAS C BL SAN DIMAS DAM CA,34.15278536,-117.7725581,N,16.3,22524711
T11086400,11086400,SAN DIMAS C NR SAN DIMAS CA,34.14528558,-117.7767249,N,18.3,22523137
T11086500,11086500,LITTLE DALTON C NR GLENDORA CA,34.1675067,-117.8383937,Y,2.72,22524703
T11086990,11086990,SAN JOSE C NR EL MONTE CA,34.0319553,-118.0120106,N,87.8,22520999
T11087020,11087020,SAN GABRIEL R AB WHITTIER NARROWS DAM CA,34.03417767,-118.0381225,N,442,22521721
T11087100,11087100,RIO HONDO FLD FLOW CHAN AT WHITTIER NARROWS DAM CA,34.02417834,-118.0703457,NA,NA,22515026
T11087195,11087195,SAN JOSE C NR WHITTIER CA,34.02362249,-118.0356224,N,88.7,22521007
T11087500,11087500,SAN GABRIEL R A PICO CA,34.01306761,-118.0642344,N,447,22521027
T11088000,11088000,SAN GABRIEL R A SPRING ST NR LOS ALAMITOS CA,33.81196059,-118.0908983,N,472,22525157
T11088500,11088500,BREA C BL BREA DAM NR FULLERTON CA,33.88779206,-117.9264496,N,21.6,22527375
T11089000,11089000,BREA C A FULLERTON CA,33.87362567,-117.9258937,N,23.6,22525745
T11089500,11089500,FULLERTON C BL FULLERTON DAM NR BREA CA,33.89584765,-117.8861706,N,4.94,22527373
T11090000,11090000,FULLERTON C A FULLERTON CA,33.87279245,-117.9070042,N,7.5,22525749
T11090200,11090200,FULLERTON C A RICHMAN AVE AT FULLERTON CA,33.86251474,-117.9328381,N,12.1,22525749
T11090500,11090500,COYOTE C NR ARTESIA CA,33.83890426,-118.0603421,N,120,22524985
T11090700,11090700,COYOTE C A LOS ALAMITOS CA,33.81057157,-118.0753421,N,150,22525001
T11092450,11092450,LOS ANGELES R A SEPULVEDA DAM CA,34.16167247,-118.466749,N,158,22515812
T11093000,11093000,PACOIMA C NR SAN FERNANDO CA,34.33527727,-118.398137,N,28.3,22514292
T11093490,11093490,NF MILL C NR LA CANADA CA,34.31750019,-118.1342384,N,5.8,22514320
T11094000,11094000,TUJUNGA C BL MILL C NR COLBY RANCH CA,34.30916717,-118.1453499,Y,64.9,22514414
T11094500,11094500,TUJUNGA C NR COLBY RANCH CA,34.30611173,-118.1575726,N,67.5,22514424
T11095000,11095000,FOX C NR COLBY RANCH CA,34.30833385,-118.1786845,N,9.22,22514428
T11095500,11095500,BIG TUJUNGA C NR SUNLAND CA,34.30055637,-118.2686878,Y,106,22514458
T11096000,11096000,HAINES C NR TUJUNGA CA,34.2638912,-118.2717433,N,1.26,22515766
T11096500,11096500,LITTLE TUJUNGA C NR SAN FERNANDO CA,34.27444641,-118.3725805,N,21.1,22515740
T11097000,11097000,BIG TUJUNGA C BL HANSEN DAM CA,34.25361395,-118.38897,N,153,22515762
T11097500,11097500,LOS ANGELES R A LOS ANGELES CA,34.08112164,-118.2275735,N,514,22515824
T11098000,11098000,ARROYO SECO NR PASADENA CA,34.22222629,-118.1775727,Y,16,22514774
T11098500,11098500,LOS ANGELES R NR DOWNEY CA,33.94945899,-118.1739592,N,599,22518268
T11099500,11099500,SAWPIT C NR MONROVIA CA,34.1730612,-117.9892322,N,5.3,22516662
T11100000,11100000,SANTA ANITA C NR SIERRA MADRE CA,34.1916716,-118.0172888,Y,9.71,22514894
T11100500,11100500,LITTLE SANTA ANITA C NR SIERRA MADRE CA,34.18694964,-118.0439565,Y,1.84,22515816
T11101000,11101000,EATON C NR PASADENA CA,34.1936162,-118.1045143,N,6.47,22514928
T11101250,11101250,RIO HONDO AB WHITTIER NARROWS DAM CA,34.05834368,-118.0717348,N,91.2,22515826
T11101500,11101500,RIO HONDO NR MONTEBELLO CA,34.03334468,-118.0736792,N,116,22515018
T11102000,11102000,MISSION C NR MONTEBELLO CA,34.02917814,-118.0695124,N,4.16,22515020
T11102300,11102300,RIO HONDO BL WHITTIER NARROWS DAM CA,34.01667881,-118.0884018,N,124,22515830
T11102500,11102500,RIO HONDO NR DOWNEY CA,33.94668115,-118.1628477,N,143,22518270
T11103000,11103000,LOS ANGELES R A LONG BEACH CA,33.81723937,-118.2064584,N,827,22518274
T11103500,11103500,BALLONA C NR CULVER CITY CA,33.99834531,-118.4022996,N,89.5,20366291
T11104000,11104000,TOPANGA C NR TOPANGA BCH CA,34.06445228,-118.587028,N,18,20365153
T11105500,11105500,MALIBU C AT CRATER CAMP NR CALABASAS CA,34.07778456,-118.7017534,N,105,20365093
T11105850,11105850,ARROYO SIMI NR SIMI CA,34.2730584,-118.7878711,N,70.6,17563896
T11106000,11106000,CALLEGUAS C A CAMARILLO,34.21611598,-119.0153793,N,168,17562594
T11106400,11106400,CONEJO CREEK ABOVE HIGHWAY 101 CA,34.2366711,-118.9648221,N,64.2,17564004
T11106550,11106550,CALLEGUAS C NR CAMARILLO CA,34.17944989,-119.0398242,N,248,17562626
T11107000,11107000,HONDA BARRANCA NR SOMIS CA,34.2688922,-119.0498254,N,2.57,17562544
T11107745,11107745,SANTA CLARA R AB RR STATION NR LANG CA,34.42971779,-118.3553578,N,157,17574557
T11107860,11107860,BOUQUET C NR SAUGUS CA,34.44888388,-118.507029,N,51.6,17574375
T11108000,11108000,SANTA CLARA R NR SAUGUS CA,34.42610707,-118.5867537,N,411,17574541
T11108075,11108075,CASTAIC C AB FISH C NR CASTAIC CA,34.60637689,-118.6650888,N,37,17569701
T11108080,11108080,FISH C AB CASTAIC C NR CASTAIC CA,34.60248818,-118.6628665,N,27.2,17569729
T11108090,11108090,ELDERBERRY CYN C AB CASTAIC C NR CASTAIC CA,34.5722118,-118.6253655,Y,2.5,17569915
T11108095,11108095,NECKTIE CYN C AB CASTAIC C NR CASTAIC CA,34.56054568,-118.6150874,Y,2.12,17570001
T11108130,11108130,ELIZABETH LK CYN C AB CASTAIC LK NR CASTAIC CA,34.57610057,-118.5570301,N,43.7,17569955
T11108134,11108134,CASTAIC C BLW MWD DIV BLW CASTAIC LK NR CASTAIC,34.5194364,-118.6103652,N,138,17570321
T11108135,11108135,CASTAIC LAGOON PARSHALL FL NR CASTAIC CA,34.51027017,-118.6086985,NA,138,17570449
T11108145,11108145,CASTAIC C NR SAUGUS CA,34.42832922,-118.6286993,N,184,17574587
T11108500,11108500,SANTA CLARA RIVER AT L.A.-VENTURA CO. LINE CA,34.39971939,-118.7048127,N,625,17574705
T11109000,11109000,SANTA CLARA R NR PIRU CA,34.40360813,-118.739258,N,645,17575785
T11109100,11109100,PIRU C BL THORN MEADOWS NR STAUFFER CA,34.63915266,-119.0962168,N,22.5,17567453
T11109200,11109200,MF LOCKWOOD C NR STAUFFER CA,34.76553609,-119.12094,N,5.5,17568541
T11109250,11109250,LOCKWOOD C A GORGE NR STAUFFER CA,34.73248227,-119.0381586,N,58.7,17567207
T11109375,11109375,PIRU C BL BUCK C NR PYRAMID LK CA,34.66609632,-118.8242608,N,198,17569367
T11109395,11109395,CANADA DE LOS ALAMOS AB PYRAMID LK CA,34.69192849,-118.7912038,N,61.8,17572225
T11109396,11109396,CA AQUEDUCT A N PORTAL TEHACHAPI TNL NR GORMAN CA,34.9294166,-118.8056509,NA,NA,14950768
T11109398,11109398,WB CA AQUEDUCT A WILLIAM WARNE PP NR GORMAN CA,34.6852621,-118.7887037,NA,NA,17572357
T11109525,11109525,PIRU C BL PYRAMID LK NR GORMAN CA,34.64165299,-118.7645362,N,295,24858039
T11109600,11109600,PIRU CREEK ABOVE LAKE PIRU CA,34.52304728,-118.7570362,N,372,17572335
T11109800,11109800,PIRU CREEK BELOW SANTA FELICIA DAM CA,34.46027231,-118.7520361,N,425,17575859
T11110000,11110000,PIRU C NR PIRU CA,34.42499608,-118.7620366,N,437,17574539
T11110500,11110500,HOPPER CREEK NEAR PIRU CA,34.40083045,-118.8264837,Y,23.6,17574757
T11111500,11111500,SESPE CREEK NEAR WHEELER SPRINGS CA,34.5777657,-119.2578902,Y,49.5,17567911
T11112500,11112500,FILLMORE IRR CO CN NR FILLMORE CA,34.45416125,-118.9253767,NA,NA,17574265
T11113000,11113000,SESPE C NR FILLMORE,34.4416618,-118.9273212,Y,252,17574345
T11113001,11113001,SESPE C + FILLMORE IRR CO CN NR FILLMORE CA,34.45082807,-118.9259322,NA,251,17574345
T11113500,11113500,SANTA PAULA CREEK NEAR SANTA PAULA,34.4133295,-119.0823272,N,38.4,17573647
T11113900,11113900,SATICOY DIV NR SATICOY,34.29277989,-119.1173279,NA,NA,17573053
T11114000,11114000,SANTA CLARA RIVER AT MONTALVO CA,34.24222654,-119.1898302,N,1594,17573713
T11114495,11114495,MATILIJA C NR RES NR MATILIJA HOT SPRINGS CA,34.5027693,-119.3573393,Y,47.8,17585808
T11114500,11114500,MATILIJA C AB RES NR MATILIJA HOT SPRINGS CA,34.49471397,-119.3309491,N,50.7,17587578
T11115500,11115500,MATILIJA C A MATILIJA HOT SPRINGS,34.48276995,-119.3017809,Y,54.6,17586470
T11116000,11116000,NF MATILIJA C A MATILIJA HOT SPRINGS CA,34.49249174,-119.3065034,Y,15.6,17586460
T11116550,11116550,VENTURA R NR MEINERS OAKS CA,34.46499299,-119.2898357,N,76.4,17586538
T11117000,11117000,SAN ANTONIO C NR OJAI CA,34.59359842,-119.2584459,N,33.7,17586648
T11117500,11117500,SAN ANTONIO C A CASITAS SPRINGS,34.38027469,-119.3045578,N,51.2,17586842
T11117600,11117600,COYOTE CREEK NEAR OAK VIEW CA,34.41666158,-119.3706722,Y,13.2,17586774
T11117800,11117800,SANTA ANA C NR OAK VIEW,34.42360587,-119.3412265,Y,9.11,17586728
T11118000,11118000,COYOTE C NR VENTURA CA,34.35722009,-119.3137247,N,41.2,17587614
T11118400,11118400,VENTURA R DIV NR VENTURA CA,34.35833118,-119.310669,NA,NA,17587720
T11118500,11118500,VENTURA R NR VENTURA,34.35222038,-119.3084466,N,188,948070372
T11118501,11118501,VENTURA R NR VENTURA+ DIV. CA,34.35222038,-119.3084466,NA,188,948070372
T11119500,11119500,CARPINTERIA C NR CARPINTERIA CA,34.4013836,-119.4865103,N,13.1,17596159
T11119530,11119530,FRANKLIN C A CARPINTERIA CA,34.40416149,-119.519012,N,3.56,17595477
T11119745,11119745,MISSION C A ROCKY NOOK PARK A SANTA BARBARA CA,34.44055266,-119.7118027,N,6.6,17595453
T11119750,11119750,MISSION C NR MISSION ST NR SANTA BARBARA CA,34.42638889,-119.7222222,N,8.38,17595453
T11119780,11119780,ARROYO BURRO A SANTA BARBARA CA,34.43694215,-119.7465269,N,6.65,17596153
T11119940,11119940,MARIA YGNACIO C A UNIVERSITY DRIVE NR GOLETA CA,34.4449965,-119.80375,N,6.4,17596111
T11120000,11120000,ATASCADERO C NR GOLETA CA,34.4247189,-119.8118051,N,18.9,17595429
T11120500,11120500,SAN JOSE C NR GOLETA CA,34.45916286,-119.8090283,Y,5.51,17596109
T11120510,11120510,SAN JOSE C A GOLETA CA,34.43027415,-119.822083,Y,9.42,17595405
T11120520,11120520,SAN PEDRO C A GOLETA CA,34.4397181,-119.8365279,Y,3.1,17596097
T11120530,11120530,TECOLOTITO C NR GOLETA CA,34.43471754,-119.8687502,Y,4.42,17595369
T11120550,11120550,GAVIOTA C NR GAVIOTA CA,34.48776644,-120.2270947,Y,18.8,17594763
T11120600,11120600,JALAMA C NR LOMPOC CA,34.51387401,-120.4848861,N,20.5,17593507
T11121000,11121000,SANTA YNEZ R A JAMESON LK NR MONTECITO CA,34.4922149,-119.507902,N,13.9,17612503
T11121010,11121010,JAMESON LK RELEASE WEIR A JAMESON LAKE CA,34.4922149,-119.507902,NA,13.9,17612503
T11121900,11121900,GIBRALTAR DAM DIV WEIR A GIBRALTAR DAM CA,34.52416133,-119.6870801,NA,NA,17611471
T11122010,11122010,GIBRALTAR DAM REL WR A GIBRALTAR DAM CA,34.52416133,-119.6873579,NA,NA,17610919
T11123000,11123000,SANTA YNEZ R BL GIBRALTAR DAM NR SNTA BRB C CA,34.5244391,-119.6873579,N,216,17610919
T11123500,11123500,SANTA YNEZ R BL LOS LAURLS CYN NR SNTA YNEZ CA,34.54360358,-119.8648627,N,277,17611449
T11124500,11124500,SANTA CRUZ C NR SANTA YNEZ CA,34.59665633,-119.9087519,Y,74,17611425
T11125000,11125000,CACHUMA C NR SANTA YNEZ CA,34.60832217,-119.935419,N,23.8,17611423
T11125600,11125600,HILTON CYN C NR SANTA YNEZ CA,34.58221109,-119.9826419,N,2.42,17610419
T11126000,11126000,SANTA YNEZ R NR SANTA YNEZ CA,34.58915523,-119.9887532,N,422,17611429
T11126500,11126500,SANTA AGUEDA C NR SANTA YNEZ CA,34.59498792,-120.0295879,N,55.8,17608997
T11127500,11127500,ZANJA DE COTA C NR SANTA YNEZ CA,34.58609862,-120.0959795,N,13.8,17609007
T11128000,11128000,SANTA YNEZ R A GRAND AVE NR SANTA YNEZ CA,34.58498749,-120.1009797,N,513,17609011
T11128250,11128250,ALAMO PINTADO C NR SOLVANG CA,34.61831975,-120.120703,N,29.4,17607945
T11128400,11128400,ALISAL C NR SOLVANG CA,34.57637614,-120.1484816,Y,11.6,17608281
T11128500,11128500,SANTA YNEZ R A SOLVANG CA,34.58498706,-120.1445926,N,579,17609015
T11129500,11129500,SANTA YNEZ R A BUELLTON CA,34.60693043,-120.1968173,N,611,17608993
T11129800,11129800,ZACA C NR BUELLTON CA,34.64859614,-120.1843172,N,32.8,17607773
T11130000,11130000,ZACA C A BUELLTON CA,34.61387474,-120.1926505,N,39.4,17608985
T11130500,11130500,SANTA YNEZ R NR BUELLTON CA,34.61054095,-120.2490417,N,668,948060199
T11131000,11131000,SANTA YNEZ R AT SANTA ROSA DAMSITE NR BUELLTON CA,34.60970721,-120.3065445,N,700,17608987
T11131500,11131500,SANTA YNEZ R A COOPERS REEF NR LOMPOC CA,34.61331786,-120.3573804,N,708,17607901
T11132000,11132000,SANTA YNEZ R BL SANTA RITA C NR LOMPOC CA,34.63331722,-120.39266,N,733,17609043
T11132500,11132500,SALSIPUEDES C NR LOMPOC CA,34.5885957,-120.4084938,Y,47.1,17609017
T11133000,11133000,SANTA YNEZ R A NARROWS NR LOMPOC CA,34.63609474,-120.424606,N,NA,948060325
T11133500,11133500,SANTA YNEZ R NR LOMPOC CA,34.64415012,-120.4309953,N,790,948060325
T11133700,11133700,PURISIMA C NR LOMPOC CA,34.69276037,-120.431829,N,4.75,17607645
T11134000,11134000,SANTA YNEZ R A H ST NR LOMPOC CA,34.66831622,-120.4579412,N,815,17608959
T11134500,11134500,SANTA YNEZ R A V STREET NR LOMPOC CA,34.66831613,-120.4757198,N,820,17608959
T11134800,11134800,MIGUELITO C A LOMPOC CA,34.6316501,-120.4648857,Y,11.6,17607917
T11135000,11135000,SANTA YNEZ R A PINE CYN NR LOMPOC CA,34.67220488,-120.492665,N,844,948060201
T11135500,11135500,SANTA YNEZ R A BARRIER NR SURF CA,34.68887119,-120.5857244,N,895,163864377
T11135800,11135800,SAN ANTONIO C A LOS ALAMOS CA,34.74331534,-120.2709888,N,34.9,17620166
T11136000,11136000,SAN ANTONIO C A HARRIS CA,34.76248138,-120.4246069,N,93.7,17620130
T11136100,11136100,SAN ANTONIO C NR CASMALIA CA,34.78220307,-120.5307227,N,135,17620568
T11136150,11136150,SAN ANTONIO C TRIB NR CASMALIA CA,34.81248035,-120.5257226,N,0.28,17619992
T11136400,11136400,WAGON RD C NR STAUFFER CA,34.70887158,-119.2078883,N,17.9,17637252
T11136480,11136480,REYES C NR VENTUCOPA CA,34.69415014,-119.3181711,N,4.62,17637988
T11136500,11136500,CUYAMA R NR VENTUCOPA CA,34.68887277,-119.3578952,N,89.9,17637968
T11136650,11136650,ALISO CYN C NR NEW CUYAMA CA,34.98331022,-119.7759677,N,16.1,17635794
T11136800,11136800,CUYAMA R BL BUCKHORN CYN NR SANTA MARIA CA,35.0219213,-120.2284868,N,886,17633130
T11137000,11137000,CUYAMA R NR SANTA MARIA CA,35.01164373,-120.2796007,N,904,17633138
T11137400,11137400,ALAMO C NR NIPOMO CA,35.04858759,-120.3023792,N,83.3,17633108
