STAIDT,site_no,STATION_NAME,LATITUDE,LONGITUDE,FINAL_REFERENCE,DA_SQKM,NHDV2_COMID
T10287400,10287400,RUSH C AB GRANT LK NR JUNE LK CA,37.80631867,-119.1090349,N,51.3,20287402
T10287655,10287655,LEE VINING C BL SADDLEBAG LK NR LEE VINING CA,37.9643687,-119.2732103,N,4.43,20287270
T10287762,10287762,POOLE PP CONDUIT IT NR LEE VINING CA,37.93575882,-119.2307077,NA,NA,20287584
T10287770,10287770,LEE VINING C BL RHINEDOLLAR DAM NR LEE VINING CA,37.93603659,-119.2309854,N,16.7,20287584
T10287900,10287900,LEE VINING C NR LEE VINING CA,37.9293704,-119.1704278,N,34.9,20287304
T10289000,10289000,VIRGINIA CK NR BRIDGEPORT CA,38.19186474,-119.2101533,N,63.6,8915923
T10289500,10289500,GREEN CK NR BRIDGEPORT CA,38.17380969,-119.2337656,N,19.5,8915933
T10290000,10290000,SUMMERS C NR BRIDGEPORT CA,38.15408779,-119.2593223,N,8.26,8915411
T10290500,10290500,"ROBINSON C AT TWIN LKS OUTLET NR BRIDGEPORT, CA",38.17214225,-119.3246032,N,39.1,8915935
T10291500,10291500,"BUCKEYE CREEK NEAR BRIDGEPORT, CA",38.23880787,-119.3259923,Y,44.1,8915907
T10292000,10292000,"SWAUGER CREEK NEAR BRIDGEPORT, CA",38.28269628,-119.29988,N,52.8,8915871
T10293000,10293000,"E WALKER R NR BRIDGEPORT, CA",38.3276958,-119.2148759,N,359,8915857
T10295200,10295200,W WALKER R A LEAVITT MD NR COLEVILLE CA,38.3304697,-119.5523913,N,73.4,10744570
T10295500,10295500,"L WALKER R NR BRIDGEPORT, CA",38.3607482,-119.4448868,YY,63.1,10744456
T10296000,10296000,"W WALKER R BLW L WALKER R NR COLEVILLE, CA",38.3796366,-119.4501649,N,181,10744424
T10296500,10296500,"W WALKER R NR COLEVILLE, CA",38.51324495,-119.4498872,N,250,946050152
T10303000,10303000,SILVER KING C NR COLEVILLE CA,38.51657651,-119.6010047,N,31.6,8923315
T10303500,10303500,EF CARSON R ASKV NR MARKLEEVILLE CA,38.5749086,-119.634339,N,NA,8923151
T10304500,10304500,"SILVER C BL PENN C NR MARKLEEVILLE, CA",38.59990726,-119.7760107,N,19.6,8924117
T10308200,10308200,E F CARSON R BL MARKLEEVILLE C NR MARKLEEVILLECA,38.7146274,-119.7648985,Y,276,8922715
T10308783,10308783,LEVIATHAN C AB MINE NR MARKLEEVILLE CA,38.7012952,-119.6565614,YY,4.16,8922761
T10308784,10308784,LEVIATHAN MINE ADIT DRAIN NR MARKLEEVILLE CA,38.70407294,-119.6587837,NA,NA,8922761
T103087885,103087885,LEVIATHAN C CHANNEL UNDERDRAIN NR MARKLEEVILLE CA,38.7093506,-119.6623949,NA,NA,8922761
T103087889,103087889,4L C NR MARKLEEVILLE CA,38.7108333,-119.6630556,N,1.14,8922755
T10308789,10308789,LEVIATHAN C AB ASPEN C NR MARKLEEVILLE CA,38.7168505,-119.6601726,N,7.07,8922717
T103087891,103087891,ASPEN C ABV LEVIATHAN MINE NR MARKLEEVILLE CA,38.7086111,-119.648611,YY,0.55,8922743
T103087892,103087892,ASPEN C OVERBURDEN SEEP NR MARKLEEVILLE CA,38.71240619,-119.6540613,NA,0.06,8922727
